This behavior is known to be very effective for dealingwith well-known DDoS attacks.; (TOP (S (NP (DT )(NN ))(VP (VBZ )(VP (VBN )(S (VP (TO )(VP (VB )(ADJP (RB )(JJ ))(PP (IN )(NP (RB )(JJ )(NNP )(NNS ))))))))(. )))
Robust controller / observer for traffic reconstruction Exploiting the capabilities of observers or estimators allows us,y generating consolidated signals, to extend the way malicious in-rusion can be controlled while enhancing the intrinsic flight han-ling qualities of a fleet of UAVs.; (TOP (S (NP (NP (NNP )(NN )(NN )(NN ))(PP (IN )(NP (NP (NN )(NN ))(VP (VBG )(NP (NP (DT )(NNS ))(PP (IN )(NP (NNS )(CC )(NNS ))))))))(VP (VBZ )(S (NP (PRP ))(VP (ADVP (RB ))(VBG )(NP (JJ )(NNS ))(, )(S (VP (TO )(VP (VB )(NP (NP (DT )(NN ))(SBAR (S (NP (JJ )(NN ))(VP (MD )(VP (VB )(VP (VBN )(SBAR (IN )(S (VP (VBG )(NP (NP (DT )(JJ )(NN )(NN )(NNS ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NNP )))))))))))))))))))))(. )))
Among the non-linear methods22] described in the literature, the Super-Twisting Algorithm 2325] is the most widely used for chattering avoidance while de-ecting anomalies.; (TOP (S (PP (IN )(NP (NP (DT )(JJ )(NN ))(VP (VBN )(PP (IN )(NP (DT )(NN ))))))(, )(NP (DT )(NNP )(NNP )(CD )(NN ))(VP (VBZ )(NP (DT )(ADJP (RBS )(RB ))(VP (VBN )(PP (IN )(S (VP (VBG )(NP (NN )(WP ))(NP (JJ )(NNS ))))))))(. )))
Its principles rely firstly on the non-linear fluidodel applied on TCP dynamics and secondly on sliding modes26] which are often used to design robust non-linear observers orontrol laws.; (TOP (S (NP (PRP$ )(NNS ))(VP (VP (VB )(ADVP (RB ))(PP (IN )(NP (NP (DT )(JJ )(NN ))(VP (VBN )(PP (IN )(NP (NNP )(NNS )))))))(CC )(VP (JJ )(PP (IN )(NP (NP (VBG )(NNS ))(SBAR (WHNP (WDT ))(S (VP (VBP )(ADVP (RB ))(VP (VBN )(S (VP (TO )(VP (VB )(NP (JJ )(JJ )(NNS ))(NP (JJ )(NNS )))))))))))))(. )))
Unfortunately, building upon this peculiar observerrovides for bounded input-bounded state , finite-time sta-ility only  .; (TOP (S (ADVP (RB ))(, )(S (VP (VBG )(PP (IN )(NP (DT )(JJ )(NNS )))(PP (IN )(NP (NP (VBN )(JJ )(NN ))(, )(NP (NP (NN )(NN ))(ADVP (RB )))))))(. )))
Consequently, this statement restricts the appli-ation of this observer to the class of the systems for which thepper bound of the initial condition might be estimated in ad-ance.; (TOP (S (ADVP (RB ))(, )(NP (DT )(NN ))(VP (VBZ )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (DT )(NN ))(PP (TO )(NP (NP (NP (DT )(NN ))(PP (IN )(NP (DT )(NNS ))))(SBAR (WHPP (IN )(WHNP (WDT )))(S (NP (NP (NN )(NN ))(PP (IN )(NP (DT )(JJ )(NN ))))(VP (MD )(VP (VB )(VP (VBN )(PP (IN )(NP (NN ))))))))))))))(. )))
Such an approach can be very non-systematic for complexection system for UAV ad-hoc communication: From methodology 0.1016/j.adhoc.2018.09.004 https://doi.org/10.1016/j.adhoc.2018.09.0044; (TOP (S (S (NP (JJ )(DT )(NN ))(VP (MD )(VP (VB )(ADJP (RB )(JJ ))(PP (IN )(NP (NP (NN )(NN ))(PP (IN )(NP (NNP )(JJ )(NN ))))))))(: )(PP (IN )(NP (NP (NN )(CD )(NNS ))(ADVP (RB ))))(. )))
J.-P.; (TOP (. ))
Condomines et al. / Ad Hoc Networks 0 0 0  114 ARTICLE IN PRESS JID: ADHOC  Fig. 5. Step 2 : attack reconstruction.; (TOP (S (S (NP (NNS ))(VP (VBD )(ADJP (JJ ))))(. )('' )(NP (NNP )(NNP )(NNP )(CD )(CD )(CD )(CD )(NN ))(PP (IN )(NP (NP (NNP )(NNP ))(: )(NP (NP (NNP )(NNP )(NNP )(CD )(. )(NNP )(CD ))(: )(NP (NN )(NN )))))(. )))
o  a  b  i  d  a  s  o  a y  I  t  i  s  s  l  S  l  o  t  s  r  a  o  i  o  t  t  s  i  t a  m  s  o3 a  a  dynamic systems such as the TCP model for a fleet of UAVs.; (TOP (PP (IN )(NP (NP (DT )(NN ))(SBAR (IN )(S (VP (VBN )(NP (NP (NP (DT )(NN ))(PP (IN )(NP (DT )(NN ))))(SBAR (S (NP (PRP ))(VP (VBP )(SBAR (IN )(S (NP (PRP ))(VP (VBZ )(S (NP (NP (JJ )(NNP )(NN ))(PP (IN )(NP (NN )(NNS ))))(VP (VBD )(S (NP (DT )(ADJP (RB )(FW ))(PP (IN )(NP (NN )(NN ))))(VP (VBZ )(PP (IN )(NP (NP (NN ))(SBAR (S (NP (DT )(NN ))(VP (VBZ )(PP (IN )(NP (NP (DT )(DT )(JJ )(NNS ))(PP (JJ )(IN )(NP (NP (DT )(NNP )(NN ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NNP )))))))))))))))))))))))))))))(. )))
An-other relevant method proposed in the literature is based on time-delay linear state estimation.; (TOP (S (NP (NP (DT )(JJ )(NN ))(VP (VBN )(PP (IN )(NP (DT )(NN )))))(VP (VBZ )(VP (VBN )(PP (IN )(NP (NN )(NN )(NN )(NN )))))(. )))
Such an approach  draws on bothLyapunovKrasovskii functional and dynamic behavior of TCP/AQM to usea Luenberger observer to cope with anomaly detection.; (TOP (S (NP (JJ )(DT )(NN ))(VP (VBZ )(PP (IN )(NP (NP (DT )(JJ )(CC )(JJ )(NN ))(PP (IN )(NP (NNP )))))(PP (TO )(NP (NNP )(NNP )(NN )))(S (VP (TO )(VP (VB )(PP (IN )(NP (DT )(NN )))))))(. )))
An Ac-tive Queue Management consists of adjusting data flow rates sentby the UAV through the network.; (TOP (S (NP (NP (DT )(JJ )(NNP )(NNP )(NNS ))(PP (IN )(NP (NN )(NNS )(NN )(NNS ))))(VP (VBP )(NP (DT )(NNP ))(PP (IN )(NP (DT )(NN ))))(. )))
The principle consists of drop-ping (or marking when the ECN  option is enabled) some packets before the buffer saturates.Consequently, the estimator must be associated with a robust AQMin order to perform its diagnosis.; (TOP (S (NP (DT )(NN ))(VP (VBZ )(PP (IN )(NP (NP (NP (NN ))(-LRB- )(CC )(NP (NP (NN ))(SBAR (WHADVP (WRB ))(S (NP (DT )(NNP )(NN ))(VP (VBZ )(VP (VBN ))))))(-RRB- ))(NP (NP (DT )(NNS ))(SBAR (IN )(S (NP (DT )(NN ))(ADVP (RB ))(, )(NP (DT )(NN ))(VP (MD )(VP (VB )(VP (VBN )(PP (IN )(NP (DT )(JJ )(NN )(NN )))(S (VP (TO )(VP (VB )(NP (PRP$ )(NN ))))))))))))))(. )))
The study of congestion con-trol in a time-delay system framework is not new and has beensuccessfully demonstrated in  .; (TOP (S (NP (NP (NP (DT )(NN ))(PP (IN )(NP (NN )(NN ))))(PP (IN )(NP (DT )(NN )(NN )(NN ))))(VP (VP (VBZ )(RB )(ADJP (JJ )))(CC )(VP (VBZ )(ADVP (RB ))(VP (VBN )(PP (IN )))))(. )))
A relevant constructive algo-rithm  has been proposed.; (TOP (S (NP (DT )(JJ )(JJ )(NN ))(VP (VBZ )(VP (VBN )(VP (VBN ))))(. )))
3. Intrusion detection methodology Our methodology introduced in this section is a two-step pro-cess .; (TOP (S (NP (NP (DT )(NNP )(NN )(NN ))(SBAR (S (NP (PRP$ )(NN ))(VP (VBN )(PP (IN )(NP (DT )(NN )))))))(VP (VBZ )(NP (DT )(JJ )(NN )))(. )))
The first step is dedicated to trafficcharacterization. Its objective is to calculate a specific signature ofthe traffic we want to analyze.; (TOP (S (S (NP (DT )(JJ )(NN ))(VP (VBZ )(VP (VBN )(PP (TO )(NP (NN ))))))(. )(NP (PRP$ )(NN ))(VP (VBZ )(S (VP (TO )(VP (VB )(NP (NP (DT )(JJ )(NN )(NN )(NN ))(SBAR (S (NP (PRP ))(VP (VBP )(S (VP (TO )(VP (VB ))))))))))))(. )))
We will see in Section 4 that weare able to obtain two completely different attack signatures ac-cording to Wavelet Leader Multi-fractal analysis .; (TOP (S (NP (PRP ))(VP (MD )(VP (VB )(PP (IN )(NP (NP (NN )(CD ))(SBAR (WHNP (WDT ))(S (VP (VBP )(ADJP (JJ )(S (VP (TO )(VP (VB )(NP (NP (CD )(ADJP (RB )(JJ ))(NN )(NNS ))(ADJP (JJ )(PP (TO )(NP (NNP )(NNP )(NNP )(NN ))))))))))))))))(. )))
These dif-ferent signatures are used to automatically select the different con-troller / observer models used in the second step of the intrusiondetection process.; (TOP (S (NP (DT )(JJ )(NNS ))(VP (VBP )(VP (VBN )(S (VP (TO )(ADVP (RB ))(VP (VB )(NP (NP (DT )(JJ )(NN )(NN )(NN )(NNS ))(VP (VBN )(PP (IN )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (DT )(NN )(NN ))))))))))))(. )))
3.1.; (TOP (NP (CD )(VBG )))
Step 1: spectral analysis-based traffic signature with WLM method Internet traffic exhibits scale invariance property by its nature.As proposed in  scaling and multifractal properties exists incomputer network traffic throughout different time scales.; (TOP (NP (NP (NNP )(CD ))(: )(S (NP (NP (NP (JJ )(JJ )(NN )(NN ))(PP (IN )(NP (NNP )(NN )(NN )(NN )(NNS )(NN )(NN )(NN ))))(PP (IN )(NP (NP (NP (PRP$ )(NN )(NNS ))(VP (VBN )(PP (IN )(NP (NN )))))(CC )(NP (JJ )(NNS )))))(VP (VBZ )(NP (JJR )(NN )(NN ))(PP (IN )(NP (JJ )(NN )(NNS )))))(. )))
Accord-ingly, multifractal analysis is a frequently used tool to analyzethis type of traffic.; (TOP (S (ADVP (RB ))(, )(NP (JJ )(NN ))(VP (VBZ )(NP (NP (DT )(ADJP (RB )(VBN ))(NN ))(PP (TO )(NP (NP (DT )(NN ))(PP (IN )(NP (NN )))))))(. )))
Wavelet coefficient and wavelet leader analysisare common tools to analyze self-similarity and scaling properties.Here we adapted a Wavelet Leader Multifractal  method in-troduced in  .; (TOP (S (NP (NP (NP (NNP )(NN )(CC )(NN )(NN ))(PP (IN )(NP (JJ )(NNS ))))(SBAR (S (VP (TO )(VP (VB )(NP (NN )(CC )(NN )(NNS )))))))(. )(ADVP (RB ))(NP (PRP ))(VP (VBD )(S (NP (DT )(NNP )(NNP )(NNP )(NN ))(VP (VBD )(ADVP (IN )))))(. )))
This method was first introduced to study hy-drodynamic turbulence data which is also regarded as a good ex-ample of a signal containing scale invariance properties.; (TOP (S (NP (DT )(NN ))(VP (VBD )(ADVP (RB ))(VP (VBN )(S (VP (TO )(VP (VB )(NP (NP (JJ )(NN )(NNS ))(SBAR (WHNP (WDT ))(S (VP (VBZ )(ADVP (RB ))(VP (VBN )(PP (IN )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NP (DT )(NN ))(VP (VBG )(NP (JJ )(NN )(NNS )))))))))))))))))(. )))
The WLM analysis is used to quantify the variability of any timeseries  we want to char-acterize.; (TOP (S (NP (DT )(NNP )(NN ))(VP (VBZ )(VP (VBN )(S (VP (TO )(VP (VB )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (DT )(NNS ))(SBAR (S (NP (PRP ))(VP (VBP )(S (VP (TO )(VP (VB )))))))))))))))(. )))
It considers multifractality of a signal by computing notPlease cite this article as: J.-P.; (TOP (S (NP (PRP ))(VP (VBZ )(S (NP (NP (NN ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (VBG )(NN ))))))(VP (VBP )(NP (NP (DT )(NN ))(PP (IN )(NP (NN )))))))(. )))
Condomines et al., Network intrusion detdesign to real test validation, Ad Hoc Networks , https://doi.org/1nly the wavelet coefficients of power law at the 2nd order, butlso other arbitrary orders.; (TOP (S (NP (NP (NP (NNS ))(CC )(NP (JJ )(NNP )))(, )(NP (NP (NNP )(NN )(NN ))(PP (TO )(NP (NP (JJ )(NN )(NN ))(, )(NP (NNP )(NNP )(NNP ))))))(, )(VP (VBZ )(NP (NP (NP (NNP ))(CC )(NP (NP (NP (DT )(NN )(NNS ))(PP (IN )(NP (NN )(NN ))))(PP (IN )(NP (DT )(NNP )(NN )))))(, )(CC )(NP (JJ )(JJ )(NNS ))))(. )))
This toolbox is well defined and proveny various applications  .; (TOP (S (NP (DT )(NN ))(VP (VP (VBZ )(ADJP (RB )(VBN )))(CC )(VP (VBP )(NP (JJ )(NNS ))))(. )))
This process produces a graph-cal result  which is used to find theifferences between legitimate traffic and traffic which contains annomaly.; (TOP (S (NP (DT )(NN ))(VP (VBZ )(NP (NP (DT )(JJ )(NN ))(SBAR (WHNP (WDT ))(S (VP (VBZ )(VP (VBN )(S (VP (TO )(VP (VB )(NP (NP (DT ))(PP (IN )(NP (NP (JJ )(NN )(CC )(NN ))(SBAR (WHNP (WDT ))(S (VP (VBZ )(ADVP (RB )))))))))))))))))(. )))
To best capture the complexity of the traffic, we also con-ider the different statistic moments of analysis.; (TOP (S (PP (TO )(NP (JJS )(NN )))(NP (NP (DT )(NN ))(PP (IN )(NP (DT )(NN ))))(, )(NP (PRP ))(ADVP (RB ))(VP (VBP )(NP (NP (DT )(JJ )(JJ )(NNS ))(PP (IN )(NP (NN )))))(. )))
The result is a setf 3-dimensional curves that represent the dynamic of the traffict different moments and time scales.; (TOP (S (NP (DT )(NN ))(VP (VBZ )(NP (NP (DT )(NN )(JJ )(NNS ))(SBAR (WHNP (WDT ))(S (VP (VBP )(NP (NP (DT )(NN ))(PP (IN )(NP (DT )(NN )(JJ )(NNS )(CC )(NN )(NNS )))))))))(. )))
There is an initial theoretical assumption to verify each timeou want to use the WLM method on any specific time series.ndeed,; (TOP (S (NP (EX ))(VP (VBZ )(NP (NP (DT )(JJ )(JJ )(NN ))(SBAR (S (VP (TO )(VP (VB )(S (NP (DT )(NN ))(VP (VBP )(S (VP (TO )(VP (VB )(NP (DT )(NNP )(NN ))(PP (IN )(NP (DT )(JJ )(NN )(NN )(NNP ))))))))))))))(. )))
any data series need to verify scale invariance in ordero justify the self-similarity feature.; (TOP (NP (NP (DT )(NNS )(NN )(NN ))(SBAR (S (VP (TO )(VP (VB )(NP (NN )(NN ))(PP (IN )(NP (NP (NN ))(PP (IN )(NP (DT )(NN )(NN )))))))))(. )))
This feature is also observedn the analyzed data when a power law is observed when thetatic signature is plotted  for specific timecales of this data.; (TOP (S (NP (DT )(NN ))(VP (VBZ )(ADVP (RB ))(VP (VB )(NP (DT )(JJ )(NNS ))(SBAR (WHADVP (WRB ))(S (NP (DT )(NN )(NN ))(VP (VBZ )(VP (VBN )(SBAR (WHADVP (WRB ))(S (NP (JJ )(NN ))(VP (VBZ )(VP (VBN )(PP (IN )(NP (NP (JJ )(NNS ))(PP (IN )(NP (DT )(NN )))))))))))))))(. )))
We show in Fig. 2 an example of the poweraw we can observe for one of the network traffic series analyzed.ection; (TOP (S (NP (PRP ))(VP (VBP )(PP (IN )(NP (NNP )(. )(CD )))(NP (NP (DT )(NN ))(PP (IN )(NP (NP (DT )(NN ))(SBAR (S (NP (PRP ))(VP (MD )(VP (VB )(PP (IN )(NP (NP (CD ))(PP (IN )(NP (DT )(NN )(NN )(NN )))))(S (VP (VBN )))))))))))(. )))
4 will present in detail the different attacks we have ana-yzed and the different signatures we obtained for each one.; (TOP (S (NP (CD ))(VP (MD )(VP (VB )(PP (IN )(NP (NN )))(NP (NP (NP (DT )(JJ )(NNS ))(SBAR (S (NP (PRP ))(VP (VBP )(ADJP (JJ ))))))(CC )(NP (NP (DT )(JJ )(NNS ))(SBAR (S (NP (PRP ))(VP (VBD )(PP (IN )(NP (DT )(CD ))))))))))(. )))
Basedn the WLM methodology we can quantify the variability of anyime series according to two complementary parameters: the timecale and the moment of analysis.; (TOP (PP (IN )(NP (NP (DT )(NNP )(NN ))(SBAR (S (NP (PRP ))(VP (MD )(VP (VB )(NP (NP (DT )(NN ))(PP (IN )(NP (DT )(NN ))))(PP (VBG )(PP (TO )(NP (NP (CD )(JJ )(NNS ))(: )(NP (NP (DT )(NN ))(CC )(NP (NP (DT )(NN ))(PP (IN )(NP (NN )))))))))))))(. )))
Time scale allows us to see anyepetition in the process over time.; (TOP (S (NP (NNP )(NN ))(VP (VBZ )(NP (PRP ))(S (VP (TO )(VP (VB )(NP (NN ))(PP (IN )(NP (DT )(NN )))(PP (IN )(NP (NN )))))))(. )))
Moment of analysis allows us tonalyze traffic data in different spectral representations.; (TOP (S (NP (NP (NN ))(PP (IN )(NP (NN ))))(VP (VBZ )(S (NP (PRP ))(VP (VBP )(NP (NN )(NNS ))(PP (IN )(NP (JJ )(JJ )(NNS ))))))(. )))
This sec-nd metric quantifies the variation of the traffic according to, fornstance, q = 1 , q = 2  and so on.; (TOP (NP (NP (NP (NP (DT )(JJ )(JJ )(NNS ))(NP (NP (DT )(NN ))(PP (IN )(NP (DT )(NN )))))(VP (VBG )(S (VP (TO )))))(, )(NP (NN ))(, )(NP (NNP )(SYM )(CD )(, )(NNP )(SYM )(CD ))(CC )(ADVP (RB )(IN ))(. )))
An examplef spectral signature for regular traffic  is shown in Fig. 3 .; (TOP (S (NP (NP (DT )(NN )(NN )(NN ))(PP (IN )(NP (JJ )(NN ))))(VP (VBZ )(VP (VBN )(PP (IN )(NP (NNP )(NNP )(CD )))))(. )))
This figure represents the spectral charac-eristics of the data  according to the timecale of analysis and the moment of observation.; (TOP (S (NP (DT )(NN ))(VP (VBZ )(NP (NP (DT )(JJ )(NNS ))(PP (IN )(NP (NP (DT )(NNS ))(PP (VBG )(PP (TO )(NP (NP (NP (DT )(NN ))(PP (IN )(NP (NN ))))(CC )(NP (NP (DT )(NN ))(PP (IN )(NP (NN )))))))))))(. )))
We will illustraten Section 4 how this signature can be different according to theype of attack we wish to analyze and detect.; (TOP (S (NP (PRP ))(VP (MD )(VP (VB )(NP (NNP )(CD ))(SBAR (WHADVP (WRB ))(S (NP (DT )(NN ))(VP (MD )(VP (VB )(NP (NP (JJ )(NN ))(PP (TO )(NP (NP (DT ))(PP (IN )(NP (NP (NN ))(SBAR (S (NP (PRP ))(VP (VBP )(S (VP (TO )(VP (VB )(CC )(VP (VB )))))))))))))))))))(. )))
These differences are useful for traffic characterization but canlso be very helpful in selecting a dedicated robust estimationodel.; (TOP (S (NP (DT )(NNS ))(VP (VP (VBP )(ADJP (JJ ))(PP (IN )(NP (NN )(NN ))))(CC )(VP (MD )(VP (VB )(ADJP (RB )(JJ ))(PP (IN )(S (VP (VBG )(NP (DT )(VBN )(JJ )(NN ))))))))(. )))
This is the topic of the next subsection where we will de-cribe the automatic control modeling we have performed basedn an controller / observer robust estimation.; (TOP (S (NP (DT ))(VP (VBZ )(NP (NP (NP (DT )(NN ))(PP (IN )(NP (DT )(JJ )(NN ))))(SBAR (WHADVP (WRB ))(S (NP (PRP ))(VP (MD )(VP (VB )(NP (NP (DT )(JJ )(NN )(NN ))(SBAR (S (NP (PRP ))(VP (VBP )(VP (VBN )(PP (IN )(NP (DT )(NN )(NN )(NN )(JJ )(NN ))))))))))))))(. )))
.2. Step 2: controller / observer-based robust estimation In order to improve future design of network IDS devicesgainst unknown type of attacks, we need to reconstruct the ex-ct properties of the attack.; (TOP (NP (NP (CD )(. )(NNP )(CD ))(: )(S (NP (NN )(NNP ))(VP (VBD )(NP (JJ )(NN ))(SBAR (S (SBAR (IN )(NN )(S (VP (TO )(VP (VB )(NP (NP (NP (NN )(NN ))(PP (IN )(NP (NN )(NNP ))))(PP (IN )(NP (NP (JJ )(NN ))(PP (IN )(NP (NNS ))))))))))(, )(NP (PRP ))(VP (VBP )(S (VP (TO )(VP (VB )(NP (NP (DT )(JJ )(NNS ))(PP (IN )(NP (DT )(NN ))))))))))))(. )))
This process is performed by usingection system for UAV ad-hoc communication: From methodology 0.1016/j.adhoc.2018.09.004 https://doi.org/10.1016/j.adhoc.2018.09.004J.-P.; (TOP (S (NP (DT )(NN ))(VP (VBZ )(VP (VBN )(PP (IN )(NP (NP (NN )(NN ))(PP (IN )(NP (NNP )(JJ )(NN )))(: )(PP (IN )(NP (NN )(CD )(NNS )))))))(. )(. )))
Condomines et al. / Ad Hoc Networks 0 0 0  114 5 ARTICLE IN PRESS JID: ADHOC  S  a  t  d  c  p  t  i  d  f  c  t  b  t  /  t  t  n  p  a  m4  fl  p  a  (   t  u  t  p  m  a  m  q  wMI  s  i    p  o  b  q  t  t d  fi  r  x  a  f  a  m  f  b  l  d  t  r  t  V  E  m  i  t  p  c  mWwa  m  a  o  h  fl  s  aOT  s  t  t  w  t  t  c  r44 d  t  a  m  a  w  c  tep 1s signatures to select, in Step 2, different kinds of modelnd to, finally, tune the controller / observer.; (TOP (S (S (NP (NNS ))(VP (VBD )(ADJP (JJ ))))(. )('' )(NP (NNP )(NNP )(NNP )(CD )(CD )(CD )(CD )(CD )(NN ))(PP (IN )(NP (NP (NNP )(NNP ))(: )(S (NP (NP (NNP )(NNP ))(NP (DT )(NN )))(VP (VBD )(S (NP (JJ )(NN )(NN ))(VP (VBZ )(VP (VBN )(SBAR (IN )(S (NP (JJ )(NN )(NN )(NN )(NN )(NN ))(VP (VBD )(RB )(VP (VB )(NP (DT )(CD )(NN )(NN ))(NP (NP (DT )(-LRB- )(NN )(NN )(NN )(NN )(NN ))(NP (DT )(NN )(NN ))(PP (IN )(NP (NP (NNS ))(PP (IN )(NP (NN )(SBAR (IN )(S (NP (NN )(NN )(NN )(NN ))(VP (VBD )(NP (JJ )(NN )(NN ))(NP (DT )(NN ))(NP (NP (DT )(NN ))(PP (IN )(NP (NP (NN )(NN ))(VP (VBN )(PP (IN )(NP (NP (NN ))(PP (IN )(NP (NP (NNP )(NNP )(NN ))(PP (IN )(NP (NP (NN )(NN )(JJ )(NN )(NN ))(SBAR (S (NP (DT )(NN )(NN )(NN ))(VP (VBZ )(NP (NP (JJ )(NNS ))(PP (IN )(NP (NP (NN ))(SBAR (WHADVP (WRB ))(S (NP (JJ )(NN )(NNS ))(VP (VBP )(VP (VBN )(PP (IN )(NP (NP (DT )(NN ))(SBAR (S (NP (DT )(JJ )(JJ )(NN ))(VP (VBZ )(NP (NNS ))(S (VP (TO )(VP (VB )(, )(PP (IN )(NP (NP (NNP )(CD ))(, )(NP (NP (JJ )(NNS ))(PP (IN )(NP (NN )))(SBAR (S (VP (TO )(, )(ADVP (RB ))(, )(S (VP (VB )(NP (DT )(NN )(NN )(NN )))))))))))))))))))))))))))))))))))))))))))))))))))))))))(. )))
When representinghe dynamics of a observed / controlled system such as the TCPynamics of an ad hoc network mathematically, we often use theoncept of state.; (TOP (SBAR (WHADVP (WRB ))(S (NP (NP (DT )(NNS ))(PP (IN )(NP (NP (DT )(VBN )(NN )(JJ )(NN ))(PP (JJ )(IN )(NP (NP (DT )(NNP ))(PP (IN )(NP (DT )(NN )(NN )(NN )))(ADVP (RB )))))))(, )(NP (PRP ))(ADVP (RB ))(VP (VBP )(NP (NP (NN ))(PP (IN )(NP (NN ))))))(. )))
By definition, the state of a system is the set ofarameters whose values must be known at a given moment inime, in order to predict the future evolution of the system.; (TOP (PP (IN )(NP (NP (NN ))(, )(S (NP (NP (DT )(NN ))(PP (IN )(NP (DT )(NN ))))(VP (VBZ )(NP (NP (DT )(NN )(NNS ))(SBAR (WHNP (WP$ )(NNS ))(S (VP (MD )(VP (VB )(VP (VBN )(PP (IN )(NP (DT )(VBN )(NN )(NN )))(, )(SBAR (IN )(NN )(S (VP (TO )(VP (VB )(NP (NP (DT )(NN )(NN ))(PP (IN )(NP (DT )(NN )))))))))))))))))(. )))
Thisdea is very natural for systems whose evolution over time can beescribed by differential equations.; (TOP (S (NP (DT ))(VP (VBZ )(ADJP (RB )(JJ ))(PP (IN )(NP (NP (NNS ))(SBAR (WHNP (WHNP (WP$ )(NN ))(PP (IN )(NP (NN ))))(S (VP (MD )(VP (VBN )(PP (IN )(NP (JJ )(NNS ))))))))))(. )))
The solution of a system of dif-erential equations of order n  N  depends on a set of n initialonditions.; (TOP (NP (NP (DT )(NN ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NP (JJ )(NNS ))(PP (IN )(NP (NP (NN )(NN ))(SBAR (S (NP (NNP ))(VP (VBZ )(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NN )(NNS ))))))))))))))(. )))
These initial values determine the subsequent statesaken by the system over time.; (TOP (S (NP (DT )(JJ )(NNS ))(VP (VBP )(NP (DT )(JJ )(NN ))(PP (IN )(NP (NP (DT )(NN ))(PP (IN )(NP (NN ))))))(. )))
Thus, modeling dynamic systemsy means of state representations, whether linear or non-linear,ends to be more fruitful than other types of model , since it gives us access to a direct formula-ion of the underlying physics of the process.; (TOP (S (ADVP (RB ))(, )(VP (VBG )(NP (NP (JJ )(JJ )(NNS ))(PP (IN )(NP (NN )(NNS ))))(, )(SBAR (IN )(S (NP (NP (NN ))(CC )(NP (NP (JJ )(NNS ))(SBAR (S (VP (TO )(VP (VB )(ADJP (ADJP (RBR )(JJ ))(PP (IN )(NP (NP (JJ )(NNS ))(PP (IN )(NP (NN ))))))(, )(SBAR (IN )(S (NP (PRP ))(VP (VBZ )(NP (PRP ))(NP (NP (NN ))(PP (TO )(NP (NP (DT )(JJ )(NN ))(PP (IN )(NP (NP (DT )(JJ )(NNS ))(PP (IN )(NP (DT )(NN ))))))))))))))))))))(. )))
The role of an con-roller / observer is therefore to produce an accurate estimate  x ofon-measured states x  given knowledge of the inputs and anrray of imperfect measurements.; (TOP (S (NP (NP (DT )(NN ))(PP (IN )(NP (DT )(NN )(NN )(NN ))))(VP (VBZ )(ADVP (RB ))(S (VP (TO )(VP (VB )(NP (NP (DT )(JJ )(NN )(NN ))(SBAR (S (NP (JJ )(NNS ))(VP (ADVP (RB ))(PP (VBN )(NP (NP (NN ))(PP (IN )(NP (NP (DT )(NNS )(CC )(NN ))(PP (IN )(NP (NN )(NNS )))))))))))))))(. )))
Various implementations of TCPodels in terms of assumptions and numerical techniques  exist.; (TOP (S (NP (NP (NP (JJ )(NNS ))(PP (IN )(NP (NNS ))))(PP (IN )(NP (NP (NNS ))(PP (IN )(NP (NP (NNS ))(CC )(NP (JJ )(NNS )))))))(VP (VBP ))(. )))
TCP network is commonly represented using a linearizeduid-flow model  associated with our network topology.; (TOP (S (NP (NNP )(NN ))(VP (VBZ )(ADVP (RB ))(VP (VBN )(S (VP (VBG )(NP (NP (DT )(JJ )(NN ))(VP (VBN )(PP (IN )(NP (PRP$ )(NN )(NN )))))))))(. )))
In thisaper, the topology consists of N TCP sources, with the same prop-gation delay connected to a destination node through a routersee Fig. 4 ).; (TOP (S (S (PP (IN )(NP (NN )))(, )(NP (DT )(NN ))(VP (VBZ )(PP (IN )(NP (NNP )(NNP )(NNS )))(, )(PP (IN )(NP (NP (DT )(JJ )(NN )(NN ))(VP (VBN )(PP (TO )(NP (DT )(NN )(NN )))(PP (IN )(NP (DT )(JJ )(NNP )(. )(CD ))))))))(-RRB- )(. )))
This simple topology is due to: 1.; (TOP (S (NP (DT )(JJ )(NN ))(VP (VBZ )(ADJP (JJ )(PP (TO )(NP (NNP )(CD )))))(. )))
